datasetId,auc_1year,auc_2year,auc_3year
dataset0,0.9466666666666668,0.8245614035087718,0.810364906832298
dataset1,0.8464912280701754,0.7875000000000001,0.9048536209553157
dataset2,0.9727272727272728,0.8529411764705883,0.8946936542669585
dataset3,0.9142857142857143,0.869747899159664,0.8951194184839047
dataset4,0.6857142857142857,0.7731481481481481,0.8941798941798942
dataset5,0.919047619047619,0.9145299145299145,0.9791607732201791
dataset6,0.8434343434343434,0.9033613445378151,0.9196428571428571
dataset7,0.8863636363636364,0.8733031674208145,0.9511111111111111
dataset8,0.8684210526315789,0.8144796380090499,0.8472222222222222
dataset9,0.8859649122807017,0.7666666666666666,0.7813411078717201
dataset10,0.8428571428571429,0.8348214285714286,0.8348214285714286
dataset11,0.9619047619047619,0.8907563025210083,0.8069252077562328
dataset12,0.8803418803418803,0.8151260504201681,0.8151260504201681
dataset13,0.9210526315789475,0.8157894736842104,0.8456089365180274
dataset14,0.8416666666666667,0.9201680672268907,0.9473012399708243
dataset15,0.8571428571428571,0.8547008547008547,0.9791033434650457
dataset16,0.9,0.8162393162393163,0.9446964578708623
dataset17,0.7999999999999999,0.8625,0.8653425655976676
dataset18,0.9272727272727272,0.907563025210084,0.9579613095238095
dataset19,0.9,0.8041666666666667,0.9169514047076689
dataset20,0.9466666666666668,0.8245614035087718,0.810364906832298
dataset21,0.942857142857143,0.8500000000000001,0.9287536443148687
dataset22,0.9090909090909091,0.8846153846153846,0.9226995000925756
dataset23,0.7909090909090909,0.8291666666666666,0.9489030824770897
dataset24,0.9242424242424242,0.9201680672268909,0.9201680672268909
dataset25,0.8476190476190476,0.865546218487395,0.9121079504011671
dataset26,0.9142857142857143,0.8333333333333334,0.7752976190476191
dataset27,0.9809523809523809,0.9159663865546218,0.9485919485919485
dataset28,0.8904761904761905,0.7416666666666667,0.8246962794229309
dataset29,0.898989898989899,0.8444444444444444,0.9185520361990951
dataset30,0.8804347826086958,0.8025210084033615,0.8807408807408807
dataset31,0.905982905982906,0.9273504273504274,0.9273504273504274
dataset32,0.8421052631578947,0.8760683760683761,0.9167560801144493
dataset33,0.9298245614035088,0.8625,0.893232946298984
dataset34,0.9500000000000001,0.9243697478991596,0.8740535549399816
dataset35,0.8333333333333334,0.8250000000000001,0.8783035714285715
dataset36,0.9107142857142857,0.8547008547008548,0.8622545317220544
dataset37,0.8232323232323233,0.7393162393162394,0.842055634134842
dataset38,0.9347826086956522,0.8717948717948717,0.8748111782477341
dataset39,0.8333333333333334,0.9358974358974359,0.9497406883545497
dataset40,0.8857142857142858,0.8914027149321266,0.8959276018099547
dataset41,0.717948717948718,0.7499999999999999,0.8232094288304624
dataset42,0.9649122807017544,0.9196428571428571,0.9553571428571429
dataset43,0.8511904761904762,0.8458333333333334,0.91872627973711
dataset44,0.8632478632478633,0.8949579831932774,0.8949579831932774
dataset45,0.9210526315789473,0.9401709401709402,0.9649499284692419
dataset46,0.9673913043478262,0.8371040723981901,0.8571428571428572
dataset47,0.8125,0.8529411764705882,0.8373450036469731
dataset48,0.8484848484848484,0.8193277310924371,0.8250230840258541
dataset49,0.9957983193277311,0.8991228070175438,0.9190114068441066
dataset50,0.8846153846153847,0.8703703703703703,0.92
dataset51,0.907563025210084,0.8632478632478633,0.9142441860465118
dataset52,0.8585858585858586,0.7899159663865546,0.8847098847098848
dataset53,0.9380952380952381,0.9375,0.9602864583333334
dataset54,0.8125,0.8464912280701754,0.9293845069003727
dataset55,0.8809523809523809,0.9159663865546218,0.9662388392857143
dataset56,0.9190476190476191,0.9095022624434389,0.90625
dataset57,0.8523809523809524,0.8291666666666667,0.8460751488095238
dataset58,0.8640350877192983,0.9,0.9046641791044776
dataset59,0.9358974358974359,0.9411764705882353,0.9824945295404814
dataset60,0.8728070175438597,0.888888888888889,0.9537037037037037
dataset61,0.912280701754386,0.8791666666666667,0.9057669165972415
dataset62,0.9571428571428572,0.9196428571428572,0.8933333333333333
dataset63,0.8590909090909091,0.8125,0.8590206424141443
dataset64,0.8714285714285714,0.8247863247863249,0.8247863247863249
dataset65,0.8227272727272728,0.8151260504201681,0.8949032738095238
dataset66,0.7771739130434783,0.7605042016806722,0.8126500461680517
dataset67,0.9226190476190477,0.8991228070175439,0.9328983248928712
dataset68,0.9117647058823529,0.9107142857142857,0.875
dataset69,0.7666666666666666,0.8416666666666667,0.7951153324287653
dataset70,0.8913043478260869,0.8392857142857143,0.7733333333333335
dataset71,0.8681818181818182,0.9017857142857143,0.8597285067873303
dataset72,0.8666666666666667,0.9125000000000001,0.9030612244897959
dataset73,0.8090909090909091,0.8583333333333334,0.9118075801749271
dataset74,0.9181818181818182,0.9243697478991597,0.9658514895509116
dataset75,0.7222222222222222,0.8597285067873304,0.8749999999999999
dataset76,0.8761904761904762,0.8616071428571429,0.8977777777777777
dataset77,0.8949579831932772,0.9444444444444444,0.9444444444444444
dataset78,0.8434343434343434,0.861111111111111,0.8303571428571428
dataset79,0.8625,0.8803827751196173,0.9206349206349206
dataset80,0.8383838383838383,0.8055555555555556,0.8325791855203619
dataset81,0.7857142857142857,0.823529411764706,0.8498064759747004
dataset82,0.7880434782608696,0.8392857142857143,0.9398148148148149
dataset83,0.8476190476190476,0.9201680672268908,0.9445086705202314
dataset84,0.9727272727272728,0.90625,0.9617224880382775
dataset85,0.857142857142857,0.7428571428571429,0.8026663952778343
dataset86,0.8636363636363636,0.8954545454545455,0.9659367396593673
dataset87,0.8333333333333334,0.869747899159664,0.8370714806710431
dataset88,0.8162393162393162,0.8622222222222223,0.9074074074074074
dataset89,0.8333333333333334,0.865546218487395,0.865546218487395
dataset90,0.9,0.8583333333333333,0.879940757197075
dataset91,0.9188034188034188,0.8844444444444444,0.9004524886877828
dataset92,0.9188034188034188,0.9166666666666667,0.9417458163726822
dataset93,0.8636363636363636,0.8760683760683762,0.8996699669966997
dataset94,0.9188034188034188,0.9666666666666667,0.9570029027576197
dataset95,0.8954545454545455,0.8666666666666667,0.8942672741078208
dataset96,0.8863636363636364,0.8333333333333334,0.7726557437748773
dataset97,0.8571428571428572,0.8454545454545455,0.8143724494874093
dataset98,0.905982905982906,0.8823529411764707,0.8811086797957696
dataset99,0.8947368421052632,0.907563025210084,0.9649890590809629
