datasetInd,auc_1year,auc_2year,auc_3year
0,0.8290598290598291,0.7719298245614035,0.7727272727272727
1,0.8728070175438597,0.8875000000000001,0.8547008547008548
2,0.8727272727272728,0.808080808080808,0.808080808080808
3,0.8681818181818182,0.8277310924369748,0.8333333333333334
4,0.7373737373737373,0.6798245614035088,0.6848739495798319
5,0.7636363636363637,0.6416666666666667,0.6710526315789473
6,0.8421052631578947,0.8529411764705882,0.8632478632478633
7,0.7909090909090908,0.6974789915966386,0.7307692307692307
8,0.8761904761904762,0.8416666666666667,0.8547008547008547
9,0.8803418803418803,0.7850877192982455,0.6767676767676768
10,0.9201680672268907,0.9369747899159664,0.9078947368421053
11,0.9848484848484849,0.7875000000000001,0.7393162393162394
12,0.8596491228070176,0.7899159663865546,0.7899159663865546
13,0.7543859649122807,0.7142857142857143,0.7149122807017544
14,0.7904761904761904,0.7458333333333333,0.6714285714285714
15,0.8045454545454546,0.7100840336134454,0.6727272727272727
16,0.8632478632478632,0.8333333333333334,0.8418803418803419
17,0.7982456140350878,0.8508771929824561,0.8136363636363636
18,0.6754385964912281,0.6092436974789917,0.48684210526315796
19,0.8083333333333333,0.837719298245614,0.8409090909090908
20,0.8,0.7047619047619049,0.6086956521739131
21,0.7666666666666666,0.6623931623931624,0.6623931623931624
22,0.7857142857142857,0.7934782608695652,0.7934782608695652
23,0.8418803418803419,0.8205128205128205,0.8205128205128205
24,0.9045454545454545,0.8250000000000001,0.7815126050420169
25,0.7772727272727273,0.7105263157894737,0.680952380952381
26,0.7875,0.7333333333333333,0.6919191919191919
27,0.8461538461538461,0.7543859649122807,0.7523809523809524
28,0.8418803418803419,0.7857142857142857,0.7136363636363636
29,0.85,0.8939393939393939,0.858695652173913
30,0.9254385964912281,0.8739495798319329,0.8545454545454546
31,0.8227272727272728,0.7666666666666666,0.7412280701754386
32,0.7184873949579832,0.7323232323232323,0.7323232323232323
33,0.8383838383838383,0.8613445378151261,0.829059829059829
34,0.8464912280701754,0.764957264957265,0.7412280701754386
35,0.9047619047619048,0.8416666666666667,0.8596491228070176
36,0.8547008547008547,0.773109243697479,0.608695652173913
37,0.8675213675213675,0.8903508771929824,0.8681818181818184
38,0.9238095238095237,0.8333333333333334,0.8333333333333334
39,0.8818181818181818,0.8613445378151261,0.8333333333333333
40,0.811965811965812,0.8235294117647058,0.7543859649122807
41,0.905982905982906,0.8954545454545454,0.8686868686868686
42,0.8772727272727272,0.7236842105263158,0.6262626262626262
43,0.865546218487395,0.8428571428571429,0.842391304347826
44,0.7041666666666666,0.8076923076923076,0.7454545454545455
45,0.8772727272727272,0.7905982905982907,0.7905982905982907
46,0.73109243697479,0.7008547008547008,0.6710526315789473
47,0.7818181818181817,0.6458333333333333,0.6622807017543859
48,0.8952380952380953,0.8632478632478633,0.8421052631578947
49,0.8675213675213675,0.8,0.7934782608695652
50,0.8208333333333333,0.7719298245614035,0.7285714285714285
51,0.9017094017094017,0.8974358974358975,0.8974358974358975
52,0.773109243697479,0.7719298245614035,0.7428571428571429
53,0.8523809523809524,0.8041666666666667,0.7916666666666667
54,0.7647058823529411,0.6523809523809524,0.5952380952380952
55,0.9772727272727273,0.8541666666666667,0.8290598290598291
56,0.8613445378151261,0.6919191919191919,0.6919191919191919
57,0.85,0.8681818181818183,0.8428571428571429
58,0.7772727272727273,0.764957264957265,0.7850877192982456
59,0.7809523809523811,0.8403361344537815,0.8166666666666667
60,0.8952380952380953,0.6958333333333333,0.6581196581196581
61,0.7636363636363637,0.6754385964912281,0.6909090909090909
62,0.7333333333333334,0.787878787878788,0.8273809523809524
63,0.7982456140350878,0.7008547008547009,0.6318181818181818
64,0.7478991596638656,0.6140350877192983,0.5666666666666667
65,0.8333333333333334,0.7554347826086957,0.7678571428571429
66,0.8916666666666666,0.8227272727272728,0.7857142857142857
67,0.8445378151260504,0.7435897435897435,0.7045454545454545
68,0.8034188034188035,0.7818181818181819,0.7619047619047619
69,0.8838383838383839,0.8166666666666667,0.7192982456140351
70,0.8464912280701754,0.865546218487395,0.8590909090909091
71,0.8818181818181818,0.8026315789473684,0.819047619047619
72,0.8034188034188035,0.9083333333333333,0.8823529411764706
73,0.8208333333333333,0.8859649122807017,0.8523809523809524
74,0.8461538461538463,0.9254385964912281,0.9090909090909091
75,0.6000000000000001,0.4579831932773109,0.4363636363636364
76,0.8166666666666668,0.8749999999999999,0.8076923076923077
77,0.8318181818181818,0.7458333333333333,0.6538461538461539
78,0.8931623931623932,0.9078947368421052,0.8666666666666667
79,0.7777777777777778,0.8260869565217391,0.8260869565217391
80,0.8545454545454545,0.9041666666666667,0.8547008547008548
81,0.7773109243697479,0.7017543859649122,0.7045454545454546
82,0.8333333333333334,0.7368421052631579,0.7181818181818181
83,0.8289473684210527,0.7564102564102564,0.7192982456140351
84,0.8045454545454545,0.7833333333333333,0.7456140350877193
85,0.6772727272727272,0.7647058823529412,0.7521367521367521
86,0.8655462184873949,0.7850877192982456,0.7428571428571429
87,0.8409090909090909,0.8193277310924371,0.7777777777777778
88,0.8761904761904763,0.7541666666666667,0.7375
89,0.9166666666666666,0.9041666666666666,0.9041666666666666
90,0.8624999999999999,0.875,0.875
91,0.8760683760683761,0.8045454545454547,0.7761904761904763
92,0.8632478632478633,0.7412280701754386,0.7136363636363636
93,0.8290598290598291,0.9017094017094016,0.8954545454545454
94,0.8760683760683761,0.8760683760683761,0.8090909090909091
95,0.8363636363636364,0.8392857142857143,0.8392857142857143
96,0.8931623931623932,0.8083333333333335,0.7948717948717949
97,0.8157894736842105,0.8227272727272728,0.8080808080808081
98,0.8166666666666667,0.7772727272727273,0.7952380952380953
99,0.8666666666666667,0.8907563025210085,0.8541666666666666
