datasetId,auc_1year,auc_2year,auc_3year
dataset0,0.8066666666666666,0.7236842105263158,0.6375194099378881
dataset1,0.7017543859649122,0.5708333333333333,0.6411787365177196
dataset2,0.9181818181818181,0.7016806722689076,0.6927425237053246
dataset3,0.7904761904761904,0.7226890756302522,0.6812045690550366
dataset4,0.7904761904761904,0.7685185185185186,0.7407407407407408
dataset5,0.7952380952380952,0.8333333333333334,0.8791136256482791
dataset6,0.8585858585858586,0.8781512605042018,0.8479352678571429
dataset7,0.8045454545454545,0.7782805429864253,0.7866666666666667
dataset8,0.837719298245614,0.7239819004524888,0.7314814814814814
dataset9,0.8289473684210527,0.7083333333333333,0.7650327988338192
dataset10,0.7333333333333334,0.6651785714285714,0.6651785714285714
dataset11,0.9285714285714285,0.8445378151260504,0.7697137580794091
dataset12,0.8333333333333334,0.8529411764705883,0.8529411764705883
dataset13,0.8859649122807017,0.7324561403508771,0.7774952320406865
dataset14,0.8083333333333333,0.8529411764705882,0.8372538293216631
dataset15,0.9333333333333333,0.8333333333333334,0.8737651975683892
dataset16,0.7857142857142857,0.670940170940171,0.8035903870282791
dataset17,0.7666666666666667,0.7250000000000001,0.7561042274052477
dataset18,0.85,0.722689075630252,0.7730654761904762
dataset19,0.7476190476190476,0.6708333333333333,0.7325360668185269
dataset20,0.8066666666666666,0.7236842105263158,0.6375194099378881
dataset21,0.8523809523809524,0.7708333333333333,0.8449344023323615
dataset22,0.8,0.6581196581196581,0.6770968339196445
dataset23,0.8818181818181818,0.8666666666666667,0.9188188466166805
dataset24,0.8383838383838383,0.7899159663865547,0.7899159663865547
dataset25,0.919047619047619,0.8151260504201682,0.8729941648431802
dataset26,0.9047619047619048,0.7375,0.6436941964285715
dataset27,0.7571428571428571,0.7310924369747899,0.7518427518427518
dataset28,0.6333333333333334,0.475,0.6547076689445711
dataset29,0.8080808080808081,0.7955555555555555,0.8144796380090498
dataset30,0.8369565217391304,0.7983193277310925,0.8246078246078247
dataset31,0.717948717948718,0.782051282051282,0.782051282051282
dataset32,0.8728070175438597,0.782051282051282,0.824749642346209
dataset33,0.7324561403508771,0.7333333333333334,0.8122278664731495
dataset34,0.8272727272727273,0.9159663865546218,0.9667590027700831
dataset35,0.7999999999999999,0.7458333333333332,0.760625
dataset36,0.8035714285714286,0.7307692307692307,0.6700339879154078
dataset37,0.8383838383838383,0.7777777777777778,0.8378123526638378
dataset38,0.875,0.7051282051282052,0.737726586102719
dataset39,0.738095238095238,0.8162393162393163,0.7994342291371994
dataset40,0.8380952380952381,0.8054298642533937,0.8190045248868779
dataset41,0.6581196581196581,0.6666666666666666,0.773345421577516
dataset42,0.793859649122807,0.7723214285714286,0.8035714285714286
dataset43,0.8095238095238095,0.675,0.6922151254281217
dataset44,0.8675213675213674,0.8025210084033614,0.8025210084033614
dataset45,0.7850877192982456,0.6153846153846154,0.6714055793991416
dataset46,0.7554347826086957,0.6153846153846154,0.7008928571428572
dataset47,0.55,0.5294117647058824,0.6232676878191101
dataset48,0.8434343434343434,0.7857142857142858,0.7746999076638966
dataset49,0.7521008403361344,0.6798245614035088,0.6903041825095056
dataset50,0.8205128205128206,0.7685185185185185,0.845
dataset51,0.7268907563025211,0.7008547008547008,0.7570736434108526
dataset52,0.8484848484848484,0.726890756302521,0.769041769041769
dataset53,0.6476190476190476,0.6291666666666668,0.6665736607142857
dataset54,0.775,0.6578947368421052,0.768006447063564
dataset55,0.8095238095238095,0.7394957983193278,0.7307477678571428
dataset56,0.8333333333333334,0.7963800904977375,0.8080357142857143
dataset57,0.7142857142857142,0.6625,0.763671875
dataset58,0.8333333333333334,0.7136363636363636,0.7572761194029851
dataset59,0.8376068376068376,0.8487394957983193,0.8547592997811817
dataset60,0.7587719298245614,0.7422222222222222,0.7731481481481481
dataset61,0.763157894736842,0.7833333333333333,0.828936406553735
dataset62,0.8761904761904763,0.7991071428571428,0.76
dataset63,0.759090909090909,0.7791666666666668,0.7769138202351199
dataset64,0.8333333333333334,0.8247863247863249,0.8247863247863249
dataset65,0.859090909090909,0.8067226890756303,0.8273809523809524
dataset66,0.8097826086956521,0.7983193277310924,0.7911357340720221
dataset67,0.8630952380952381,0.6491228070175438,0.7193221659524737
dataset68,0.8949579831932774,0.8973214285714286,0.9351851851851852
