datasetInd,auc_1year,auc_2year,auc_3year
0,0.9401709401709402,0.9210526315789475,0.8787878787878788
1,0.8508771929824562,0.8416666666666667,0.9059829059829061
2,0.8909090909090909,0.9393939393939393,0.9393939393939393
3,0.8500000000000001,0.8319327731092437,0.8376068376068377
4,0.8686868686868687,0.8728070175438597,0.8025210084033614
5,0.7954545454545454,0.75,0.7719298245614035
6,0.8684210526315789,0.9243697478991596,0.8974358974358975
7,0.9454545454545455,0.8991596638655462,0.9316239316239316
8,0.8666666666666667,0.9041666666666667,0.8333333333333333
9,0.8547008547008547,0.8070175438596491,0.7070707070707071
10,0.9201680672268907,0.9243697478991597,0.8684210526315789
11,0.808080808080808,0.8125,0.811965811965812
12,0.9210526315789475,0.9747899159663866,0.9747899159663866
13,0.8903508771929824,0.8991596638655462,0.8508771929824561
14,0.7476190476190476,0.8291666666666667,0.6857142857142857
15,0.8545454545454545,0.8361344537815126,0.7636363636363637
16,0.8931623931623932,0.8875000000000001,0.8717948717948718
17,0.7675438596491228,0.8552631578947368,0.890909090909091
18,0.7719298245614035,0.7773109243697479,0.7280701754385964
19,0.8833333333333333,0.8903508771929824,0.9090909090909091
20,0.7000000000000001,0.6047619047619046,0.6032608695652173
21,0.9708333333333333,0.9444444444444444,0.9444444444444444
22,0.8067226890756303,0.8206521739130435,0.8206521739130435
23,0.8376068376068376,0.811965811965812,0.811965811965812
24,0.7863636363636364,0.7666666666666666,0.7857142857142857
25,0.85,0.9298245614035088,0.861904761904762
26,0.8625,0.8714285714285714,0.8585858585858587
27,0.8461538461538461,0.9429824561403509,0.9047619047619048
28,0.8931623931623932,0.9033613445378151,0.8545454545454546
29,0.8500000000000001,0.9393939393939393,0.9239130434782609
30,0.7850877192982456,0.7857142857142857,0.7500000000000001
31,0.8090909090909091,0.8625,0.8114035087719299
32,0.8067226890756303,0.8737373737373737,0.8737373737373737
33,0.9090909090909092,0.9159663865546218,0.9188034188034189
34,0.8421052631578948,0.8803418803418803,0.8771929824561403
35,0.9619047619047619,0.8291666666666667,0.7543859649122806
36,0.8632478632478633,0.7941176470588235,0.7826086956521737
37,0.8846153846153847,0.9298245614035088,0.9454545454545454
38,0.861904761904762,0.9102564102564104,0.9102564102564104
39,0.8636363636363636,0.9243697478991597,0.9692982456140351
40,0.9401709401709403,0.9285714285714286,0.8903508771929826
41,0.982905982905983,0.9636363636363636,0.9292929292929293
42,0.85,0.7543859649122807,0.6666666666666667
43,0.8697478991596639,0.7761904761904762,0.717391304347826
44,0.8041666666666667,0.8333333333333333,0.7545454545454546
45,0.9,0.8846153846153846,0.8846153846153846
46,0.8781512605042017,0.8632478632478633,0.8421052631578948
47,0.8545454545454546,0.8333333333333334,0.7807017543859649
48,0.8285714285714286,0.8931623931623932,0.9035087719298246
49,0.7905982905982906,0.8333333333333333,0.8206521739130435
50,0.7541666666666667,0.7368421052631579,0.7523809523809524
51,0.9188034188034188,0.9529914529914529,0.9529914529914529
52,0.8361344537815126,0.8201754385964912,0.8047619047619048
53,0.9047619047619048,0.925,0.8791666666666667
54,0.8487394957983193,0.8571428571428571,0.8095238095238095
55,0.8818181818181818,0.85,0.782051282051282
56,0.861344537815126,0.7828282828282828,0.7828282828282828
57,0.8541666666666667,0.8863636363636364,0.9
58,0.8409090909090909,0.8760683760683761,0.8771929824561403
59,0.780952380952381,0.8235294117647058,0.8166666666666667
60,0.9571428571428572,0.8833333333333334,0.829059829059829
61,0.9090909090909091,0.8903508771929824,0.9045454545454545
62,0.7833333333333333,0.8838383838383839,0.8214285714285715
63,0.7412280701754386,0.764957264957265,0.7272727272727273
64,0.7857142857142857,0.8728070175438597,0.8476190476190477
65,0.8034188034188033,0.7826086956521738,0.8154761904761906
66,0.8375,0.7545454545454546,0.7523809523809524
67,0.8655462184873949,0.8632478632478633,0.8181818181818181
68,0.8418803418803419,0.8409090909090909,0.7999999999999999
69,0.8585858585858586,0.9208333333333333,0.837719298245614
70,0.8289473684210527,0.9159663865546218,0.9227272727272727
71,0.9,0.9605263157894737,0.9523809523809524
72,0.8418803418803419,0.8541666666666667,0.8991596638655462
73,0.7625,0.7938596491228069,0.819047619047619
74,0.7991452991452993,0.8947368421052632,0.9363636363636364
75,0.7952380952380952,0.7226890756302521,0.6545454545454547
76,0.8125,0.9021739130434783,0.8615384615384616
77,0.8772727272727272,0.8583333333333333,0.7307692307692307
78,0.9615384615384616,0.9780701754385964,0.9333333333333333
79,0.6794871794871794,0.842391304347826,0.842391304347826
80,0.8772727272727272,0.8583333333333334,0.8333333333333334
81,0.7647058823529412,0.7719298245614035,0.7681818181818182
82,0.952991452991453,0.9517543859649122,0.9272727272727272
83,0.9166666666666666,0.8888888888888888,0.8991228070175439
84,0.8590909090909091,0.875,0.8464912280701754
85,0.9272727272727272,0.8823529411764706,0.9102564102564104
86,0.8487394957983194,0.9298245614035087,0.8714285714285716
87,0.9227272727272727,0.9453781512605042,0.9658119658119658
88,0.8714285714285714,0.9041666666666667,0.8624999999999999
89,0.8289473684210525,0.8333333333333334,0.8333333333333334
90,0.8791666666666667,0.8913043478260869,0.8913043478260869
91,0.9273504273504274,0.8363636363636364,0.861904761904762
92,0.9487179487179488,0.912280701754386,0.890909090909091
93,0.7564102564102565,0.8418803418803419,0.790909090909091
94,0.8846153846153847,0.8418803418803419,0.8045454545454545
95,0.8227272727272728,0.8273809523809524,0.8273809523809524
96,0.888888888888889,0.8875000000000001,0.8247863247863247
97,0.8771929824561403,0.8500000000000001,0.8686868686868686
98,0.8541666666666667,0.9272727272727274,0.942857142857143
99,0.8238095238095238,0.8949579831932774,0.7958333333333334
