datasetInd,auc_1year,auc_2year,auc_3year
0,0.8717948717948718,0.8903508771929824,0.8383838383838383
1,0.7982456140350878,0.7916666666666666,0.8504273504273504
2,0.7090909090909091,0.9292929292929292,0.9292929292929292
3,0.8000000000000002,0.7899159663865546,0.7863247863247863
4,0.8181818181818181,0.8114035087719299,0.76890756302521
5,0.7227272727272727,0.7083333333333334,0.7236842105263157
6,0.8114035087719299,0.8949579831932774,0.858974358974359
7,0.9090909090909092,0.9201680672268907,0.9572649572649573
8,0.8761904761904762,0.8166666666666667,0.811965811965812
9,0.7435897435897436,0.7280701754385964,0.6565656565656566
10,0.8781512605042017,0.8277310924369747,0.7807017543859649
11,0.6818181818181818,0.6791666666666667,0.7094017094017093
12,0.8508771929824562,0.9033613445378151,0.9033613445378151
13,0.9210526315789473,0.9033613445378151,0.8508771929824561
14,0.6523809523809524,0.7916666666666666,0.6285714285714286
15,0.7681818181818182,0.819327731092437,0.7590909090909091
16,0.8803418803418804,0.8708333333333333,0.8290598290598291
17,0.7149122807017544,0.8596491228070174,0.9
18,0.7719298245614035,0.7983193277310925,0.8026315789473684
19,0.8333333333333334,0.8464912280701754,0.8454545454545455
20,0.5818181818181818,0.5047619047619046,0.5271739130434783
21,0.8583333333333334,0.9487179487179487,0.9487179487179487
22,0.7436974789915967,0.7880434782608696,0.7880434782608696
23,0.7136752136752137,0.7521367521367521,0.7521367521367521
24,0.7227272727272728,0.6791666666666667,0.6932773109243697
25,0.7636363636363636,0.8640350877192983,0.7904761904761906
26,0.8375,0.9000000000000001,0.8888888888888888
27,0.7905982905982907,0.9210526315789473,0.9238095238095239
28,0.6965811965811967,0.7436974789915967,0.7272727272727274
29,0.7833333333333333,0.8838383838383839,0.8641304347826086
30,0.6622807017543859,0.6974789915966387,0.6318181818181818
31,0.8363636363636364,0.9166666666666666,0.881578947368421
32,0.823529411764706,0.8787878787878788,0.8787878787878788
33,0.8484848484848484,0.865546218487395,0.8974358974358975
34,0.736842105263158,0.8076923076923077,0.837719298245614
35,0.8666666666666666,0.7625000000000001,0.6842105263157894
36,0.7521367521367521,0.6974789915966387,0.7119565217391305
37,0.6495726495726496,0.7324561403508772,0.7545454545454545
38,0.7619047619047619,0.8717948717948718,0.8717948717948718
39,0.7636363636363637,0.8529411764705882,0.9254385964912281
40,0.8803418803418803,0.907563025210084,0.8903508771929823
41,0.9829059829059829,0.9818181818181818,0.9545454545454546
42,0.6545454545454544,0.6359649122807017,0.5959595959595959
43,0.7857142857142857,0.7571428571428571,0.6739130434782608
44,0.6875,0.7264957264957265,0.7000000000000001
45,0.8363636363636364,0.858974358974359,0.858974358974359
46,0.7815126050420168,0.811965811965812,0.8289473684210527
47,0.8409090909090908,0.8458333333333333,0.8026315789473684
48,0.7571428571428571,0.8162393162393162,0.8333333333333334
49,0.7264957264957266,0.7761904761904762,0.7934782608695652
50,0.7999999999999999,0.8201754385964912,0.838095238095238
51,0.782051282051282,0.8803418803418803,0.8803418803418803
52,0.7857142857142857,0.7719298245614035,0.7476190476190476
53,0.7476190476190476,0.8166666666666667,0.8124999999999999
54,0.7310924369747899,0.780952380952381,0.7678571428571429
55,0.8454545454545455,0.8625,0.7863247863247864
56,0.7899159663865546,0.7222222222222222,0.7222222222222222
57,0.7791666666666668,0.8136363636363637,0.8571428571428572
58,0.8454545454545455,0.9017094017094017,0.8771929824561403
59,0.7428571428571429,0.7436974789915967,0.7541666666666667
60,0.8047619047619048,0.7666666666666667,0.7606837606837608
61,0.8636363636363636,0.9254385964912281,0.9409090909090909
62,0.7625000000000001,0.8686868686868687,0.8154761904761906
63,0.7192982456140351,0.7521367521367521,0.7136363636363636
64,0.6722689075630253,0.8245614035087718,0.8238095238095239
65,0.6837606837606838,0.75,0.8035714285714287
66,0.7666666666666666,0.7136363636363636,0.7142857142857143
67,0.8067226890756303,0.8119658119658121,0.759090909090909
68,0.7435897435897436,0.7772727272727273,0.7285714285714286
69,0.7323232323232323,0.8416666666666667,0.7763157894736841
70,0.8201754385964913,0.9033613445378151,0.9272727272727274
71,0.7909090909090909,0.8991228070175439,0.8809523809523809
72,0.811965811965812,0.8250000000000001,0.8739495798319327
73,0.7041666666666666,0.6885964912280701,0.7238095238095238
74,0.7478632478632479,0.8640350877192983,0.9
75,0.7619047619047619,0.7521008403361344,0.6727272727272728
76,0.7583333333333333,0.8315217391304348,0.8076923076923077
77,0.8090909090909091,0.8291666666666667,0.7094017094017094
78,0.905982905982906,0.9429824561403509,0.9285714285714286
79,0.4829059829059829,0.6521739130434783,0.6521739130434783
80,0.8636363636363636,0.7791666666666668,0.8247863247863247
81,0.6974789915966387,0.7543859649122806,0.75
82,0.8333333333333334,0.9166666666666666,0.8954545454545454
83,0.868421052631579,0.8504273504273504,0.8815789473684211
84,0.7772727272727272,0.7833333333333333,0.7719298245614036
85,0.8590909090909091,0.7941176470588236,0.8247863247863249
86,0.777310924369748,0.8245614035087718,0.757142857142857
87,0.8272727272727273,0.8697478991596639,0.9102564102564102
88,0.8476190476190476,0.9041666666666667,0.8541666666666666
89,0.6666666666666666,0.6875,0.6875
90,0.775,0.7989130434782609,0.7989130434782609
91,0.8760683760683761,0.8409090909090909,0.8809523809523809
92,0.8803418803418804,0.9473684210526315,0.9181818181818182
93,0.7222222222222223,0.8376068376068376,0.790909090909091
94,0.7564102564102564,0.7564102564102564,0.7636363636363637
95,0.8090909090909092,0.7678571428571429,0.7678571428571429
96,0.8205128205128206,0.8500000000000001,0.7905982905982907
97,0.7412280701754386,0.7954545454545454,0.8535353535353536
98,0.8041666666666666,0.8454545454545455,0.861904761904762
99,0.7523809523809524,0.861344537815126,0.7458333333333335
